Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Pediatric blood & cancer.,Pediatr Blood Cancer,1545-5009,1545-5017,United States,Hematology; Neoplasms; Pediatrics,2004,101186624
Pediatric hematology and oncology.,Pediatr Hematol Oncol,0888-0018,1521-0669,England,Hematology; Neoplasms; Pediatrics,1986,8700164
Phlebology,Phlebology,0268-3555,1758-1125,England,Vascular Diseases,1986,9012921
Platelets.,Platelets,0953-7104,1369-1635,England,Hematology,1990,9208117
Portuguese journal of cardiac thoracic and vascular surgery.,Port J Card Thorac Vasc Surg,,2184-9927,Portugal,Cardiology; General Surgery; Vascular Diseases,2021,9918249514506676
Pregnancy hypertension.,Pregnancy Hypertens,2210-7789,2210-7797,Netherlands,Gynecology; Vascular Diseases,2011,101552483
Progress in cardiovascular diseases.,Prog Cardiovasc Dis,0033-0620,1873-1740,United States,Cardiology; Vascular Diseases,1958,0376442
Research and practice in thrombosis and haemostasis.,Res Pract Thromb Haemost,,2475-0379,United States,Vascular Diseases,2017,101703775
Scandinavian cardiovascular journal : SCJ.,Scand Cardiovasc J,1401-7431,1651-2006,England,Cardiology; Vascular Diseases,1997,9708377
Seminars in hematology.,Semin Hematol,0037-1963,1532-8686,United States,Hematology,1964,0404514
Seminars in thoracic and cardiovascular surgery.,Semin Thorac Cardiovasc Surg,1043-0679,1532-9488,United States,Cardiology; General Surgery; Pulmonary Medicine; Vascular Diseases,1989,8917640
Seminars in thoracic and cardiovascular surgery. Pediatric cardiac surgery annual.,Semin Thorac Cardiovasc Surg Pediatr Card Surg Annu,1092-9126,,United States,Cardiology; General Surgery; Pulmonary Medicine; Vascular Diseases,1998,9815944
Seminars in thrombosis and hemostasis.,Semin Thromb Hemost,0094-6176,1098-9064,United States,Hematology; Vascular Diseases,1974,0431155
Seminars in vascular surgery.,Semin Vasc Surg,0895-7967,1558-4518,United States,General Surgery; Vascular Diseases,1988,8809602
Shock.,Shock,1073-2322,1540-0514,United States,Cardiology; Vascular Diseases,1994,9421564
Stem cells and development.,Stem Cells Dev,1547-3287,1557-8534,United States,Cell Biology; Hematology,2004,101197107
Stroke and vascular neurology.,Stroke Vasc Neurol,2059-8688,2059-8696,England,Neurology; Vascular Diseases,2016,101689996
Stroke.,Stroke,0039-2499,1524-4628,United States,Brain; Vascular Diseases,1970,0235266
Techniques in vascular and interventional radiology.,Tech Vasc Interv Radiol,1089-2516,1557-9808,United States,Radiology; Vascular Diseases,1998,9806675
The Journal of cardiovascular nursing.,J Cardiovasc Nurs,0889-4655,1550-5049,United States,Cardiology; Nursing; Vascular Diseases,1986,8703516
The Journal of cardiovascular surgery.,J Cardiovasc Surg (Torino),0021-9509,1827-191X,Italy,Cardiology; General Surgery; Vascular Diseases,1960,0066127
The Journal of thoracic and cardiovascular surgery.,J Thorac Cardiovasc Surg,0022-5223,1097-685X,United States,Cardiology; General Surgery; Pulmonary Medicine; Vascular Diseases,1959,0376343
The Lancet. Haematology.,Lancet Haematol,,2352-3026,England,Hematology; Neoplasms,2014,101643584
The Thoracic and cardiovascular surgeon.,Thorac Cardiovasc Surg,0171-6425,1439-1902,Germany,Cardiology; General Surgery; Pulmonary Medicine; Vascular Diseases,1979,7903387
The journal of clinical hypertension.,J Clin Hypertens (Greenwich),1524-6175,1751-7176,United States,Vascular Diseases,1999,100888554
The journal of vascular access.,J Vasc Access,1129-7298,1724-6032,United States,Vascular Diseases,2000,100940729
Therapeutic advances in cardiovascular disease.,Ther Adv Cardiovasc Dis,1753-9447,1753-9455,England,Cardiology; Therapeutics; Vascular Diseases,2007,101316343
"Therapeutic apheresis and dialysis : official peer-reviewed journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy.",Ther Apher Dial,1744-9979,1744-9987,Australia,Hematology,2003,101181252
Thrombosis and haemostasis.,Thromb Haemost,0340-6245,2567-689X,Germany,Hematology; Vascular Diseases,1976,7608063
Thrombosis research.,Thromb Res,0049-3848,1879-2472,United States,Vascular Diseases,1972,0326377
Topics in stroke rehabilitation.,Top Stroke Rehabil,1074-9357,1945-5119,England,Physical and Rehabilitation Medicine; Vascular Diseases,1994,9439750
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis.,Transfus Apher Sci,1473-0502,,England,Hematology,2001,101095653
Transfusion clinique et biologique : journal de la Société française de transfusion sanguine.,Transfus Clin Biol,1246-7820,1953-8022,France,Hematology,1994,9423846
Transfusion medicine reviews.,Transfus Med Rev,0887-7963,1532-9496,United States,Hematology,1987,8709027
Transfusion medicine.,Transfus Med,0958-7578,1365-3148,England,Hematology,1991,9301182
Transfusion.,Transfusion,0041-1132,1537-2995,United States,Hematology,1961,0417360
